,id,lon,lat,geometry
81,218581.0,-14.917930457184998,16.540625003534988,POINT (-14.917930457184998 16.540625003534988)
92,227470.0,-15.005430457044998,16.53437500354499,POINT (-15.005430457044998 16.53437500354499)
99,239394.0,-14.972097123764996,16.526041670224988,POINT (-14.972097123764996 16.526041670224988)
110,251322.0,-14.930430457164997,16.517708336904988,POINT (-14.930430457164997 16.517708336904988)
111,251324.0,-14.926263790504995,16.517708336904988,POINT (-14.926263790504995 16.517708336904988)
115,254266.0,-14.999180457054996,16.51562500357499,POINT (-14.999180457054996 16.51562500357499)
118,257258.0,-14.967930457104996,16.51354167024499,POINT (-14.967930457104996 16.51354167024499)
119,257265.0,-14.953347123794996,16.51354167024499,POINT (-14.953347123794996 16.51354167024499)
126,260244.0,-14.949180457134997,16.511458336914988,POINT (-14.949180457134997 16.511458336914988)
135,263172.0,-15.051263790304995,16.50937500358499,POINT (-15.051263790304995 16.50937500358499)
136,263208.0,-14.976263790424998,16.50937500358499,POINT (-14.976263790424998 16.50937500358499)
137,263214.0,-14.963763790444997,16.50937500358499,POINT (-14.963763790444997 16.50937500358499)
138,263217.0,-14.957513790454996,16.50937500358499,POINT (-14.957513790454996 16.50937500358499)
162,275105.0,-14.999180457054996,16.50104167026499,POINT (-14.999180457054996 16.50104167026499)
