"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,201,"SEN","Senegal",1,"Dakar","Région","Region",NA,"Cap Vert|Dacar"
2,201,"SEN","Senegal",2,"Diourbel","Région","Region",NA,NA
3,201,"SEN","Senegal",3,"Fatick","Région","Region",NA,NA
4,201,"SEN","Senegal",4,"Kédougou","Région","Region",NA,"Sénégal Oriental"
5,201,"SEN","Senegal",5,"Kaffrine","Région","Region",NA,NA
6,201,"SEN","Senegal",6,"Kaolack","Région","Region",NA,NA
7,201,"SEN","Senegal",7,"Kolda","Région","Region",NA,NA
8,201,"SEN","Senegal",8,"Louga","Région","Region",NA,NA
9,201,"SEN","Senegal",9,"Matam","Région","Region",NA,NA
10,201,"SEN","Senegal",10,"Sédhiou","Région","Region",NA,NA
11,201,"SEN","Senegal",11,"Saint-Louis","Région","Region",NA,"Fleuve|Vallée du Fleuve"
12,201,"SEN","Senegal",12,"Tambacounda","Région","Region",NA,"Sénégal Oriental"
13,201,"SEN","Senegal",13,"Thiès","Région","Region",NA,NA
14,201,"SEN","Senegal",14,"Ziguinchor","Région","Region",NA,NA
