"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,201,"SEN","Senegal",1,"Dakar",1,"Dakar","Département","Department",NA,NA
2,201,"SEN","Senegal",1,"Dakar",2,"Guédiawaye","Département","Department",NA,NA
3,201,"SEN","Senegal",1,"Dakar",3,"Pikine","Département","Department",NA,NA
4,201,"SEN","Senegal",1,"Dakar",4,"Rufisque","Département","Department",NA,"Rufisque-Bargny"
5,201,"SEN","Senegal",2,"Diourbel",5,"Bambey","Département","Department",NA,NA
6,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel","Département","Department",NA,NA
7,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké","Département","Department",NA,"M'Back"
8,201,"SEN","Senegal",3,"Fatick",8,"Fatick","Département","Department",NA,NA
9,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne","Département","Department",NA,NA
10,201,"SEN","Senegal",3,"Fatick",10,"Gossas","Département","Department",NA,NA
11,201,"SEN","Senegal",4,"Kédougou",11,"Kédougou","Département","Department",NA,NA
12,201,"SEN","Senegal",4,"Kédougou",12,"Salémata","Département","Department",NA,NA
13,201,"SEN","Senegal",4,"Kédougou",13,"Saraya","Département","Department",NA,NA
14,201,"SEN","Senegal",5,"Kaffrine",14,"Birkilane","Département","Department",NA,NA
15,201,"SEN","Senegal",5,"Kaffrine",15,"Kaffrine","Département","Department",NA,NA
16,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul","Département","Department",NA,NA
17,201,"SEN","Senegal",5,"Kaffrine",17,"Malème Hodar","Département","Department",NA,NA
18,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo","Département","Department",NA,NA
19,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack","Département","Department",NA,NA
20,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip","Département","Department",NA,"Nioro-Du-Rip|Nioro"
21,201,"SEN","Senegal",7,"Kolda",21,"Kolda","Département","Department",NA,NA
22,201,"SEN","Senegal",7,"Kolda",22,"Médina Yoro Foula","Département","Department",NA,NA
23,201,"SEN","Senegal",7,"Kolda",23,"Vélingara","Département","Department",NA,NA
24,201,"SEN","Senegal",8,"Louga",24,"Kébémer","Département","Department",NA,NA
25,201,"SEN","Senegal",8,"Louga",25,"Linguère","Département","Department",NA,NA
26,201,"SEN","Senegal",8,"Louga",26,"Louga","Département","Department",NA,NA
27,201,"SEN","Senegal",9,"Matam",27,"Kanel","Département","Department",NA,NA
28,201,"SEN","Senegal",9,"Matam",28,"Matam","Département","Department",NA,NA
29,201,"SEN","Senegal",9,"Matam",29,"Ranérou Ferlo","Département","Department",NA,"Ranerou"
30,201,"SEN","Senegal",10,"Sédhiou",30,"Bounkiling","Département","Department",NA,NA
31,201,"SEN","Senegal",10,"Sédhiou",31,"Goudomp","Département","Department",NA,NA
32,201,"SEN","Senegal",10,"Sédhiou",32,"Sédhiou","Département","Department",NA,NA
33,201,"SEN","Senegal",11,"Saint-Louis",33,"Dagana","Département","Department",NA,NA
34,201,"SEN","Senegal",11,"Saint-Louis",34,"Podor","Département","Department",NA,NA
35,201,"SEN","Senegal",11,"Saint-Louis",35,"Saint-Louis","Département","Department",NA,NA
36,201,"SEN","Senegal",12,"Tambacounda",36,"Bakel","Département","Department",NA,NA
37,201,"SEN","Senegal",12,"Tambacounda",37,"Goudiry","Département","Department",NA,NA
38,201,"SEN","Senegal",12,"Tambacounda",38,"Koupentoum","Département","Department",NA,"Koumpentoum"
39,201,"SEN","Senegal",12,"Tambacounda",39,"Tambacounda","Département","Department",NA,NA
40,201,"SEN","Senegal",13,"Thiès",40,"Mbour","Département","Department",NA,"M'Bour"
41,201,"SEN","Senegal",13,"Thiès",41,"Thiès","Département","Department",NA,NA
42,201,"SEN","Senegal",13,"Thiès",42,"Tivaouane","Département","Department",NA,NA
43,201,"SEN","Senegal",14,"Ziguinchor",43,"Bignona","Département","Department",NA,NA
44,201,"SEN","Senegal",14,"Ziguinchor",44,"Oussouye","Département","Department",NA,NA
45,201,"SEN","Senegal",14,"Ziguinchor",45,"Ziguinchor","Département","Department",NA,NA
