"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,201,"SEN","Senegal",1,"Dakar",1,"Dakar",1,"Almadies","Arrondissment","Arrondissement",NA,NA
2,201,"SEN","Senegal",1,"Dakar",1,"Dakar",2,"Dakar Plateau","Arrondissment","Arrondissement",NA,NA
3,201,"SEN","Senegal",1,"Dakar",1,"Dakar",3,"Grand Dakar","Arrondissment","Arrondissement",NA,NA
4,201,"SEN","Senegal",1,"Dakar",1,"Dakar",4,"Parcelles Assainies","Arrondissment","Arrondissement",NA,NA
5,201,"SEN","Senegal",1,"Dakar",2,"Guédiawaye",5,"Guediawaye","Arrondissment","Arrondissement",NA,NA
6,201,"SEN","Senegal",1,"Dakar",3,"Pikine",6,"Niayes","Arrondissment","Arrondissement",NA,NA
7,201,"SEN","Senegal",1,"Dakar",3,"Pikine",7,"Pikine Dagoudane","Arrondissment","Arrondissement",NA,NA
8,201,"SEN","Senegal",1,"Dakar",3,"Pikine",8,"Thiaroye","Arrondissment","Arrondissement",NA,NA
9,201,"SEN","Senegal",1,"Dakar",4,"Rufisque",9,"Bambilor","Arrondissment","Arrondissement",NA,NA
10,201,"SEN","Senegal",1,"Dakar",4,"Rufisque",10,"Rufisque","Arrondissment","Arrondissement",NA,NA
11,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",11,"Baba Garage","Arrondissment","Arrondissement",NA,NA
12,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",12,"Lambaye","Arrondissment","Arrondissement",NA,NA
13,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",13,"Ngoye","Arrondissment","Arrondissement",NA,NA
14,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",14,"Ndindy","Arrondissment","Arrondissement",NA,NA
15,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",15,"Ndoulo","Arrondissment","Arrondissement",NA,NA
16,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",16,"Kael","Arrondissment","Arrondissement",NA,NA
17,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",17,"Ndame","Arrondissment","Arrondissement",NA,NA
18,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",18,"Taif","Arrondissment","Arrondissement",NA,NA
19,201,"SEN","Senegal",3,"Fatick",8,"Fatick",19,"Fimela","Arrondissment","Arrondissement",NA,NA
20,201,"SEN","Senegal",3,"Fatick",8,"Fatick",20,"Ndiob","Arrondissment","Arrondissement",NA,NA
21,201,"SEN","Senegal",3,"Fatick",8,"Fatick",21,"Niakhar","Arrondissment","Arrondissement",NA,NA
22,201,"SEN","Senegal",3,"Fatick",8,"Fatick",22,"Tattaguine","Arrondissment","Arrondissement",NA,NA
23,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",23,"Djilor","Arrondissment","Arrondissement",NA,NA
24,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",24,"Niodior","Arrondissment","Arrondissement",NA,NA
25,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",25,"Toubacouta","Arrondissment","Arrondissement",NA,NA
26,201,"SEN","Senegal",3,"Fatick",10,"Gossas",26,"Colobane","Arrondissment","Arrondissement",NA,NA
27,201,"SEN","Senegal",3,"Fatick",10,"Gossas",27,"Ouadiour","Arrondissment","Arrondissement",NA,NA
28,201,"SEN","Senegal",4,"Kédougou",11,"Kédougou",28,"Bandafassi","Arrondissment","Arrondissement",NA,NA
29,201,"SEN","Senegal",4,"Kédougou",11,"Kédougou",29,"Fongolimbi","Arrondissment","Arrondissement",NA,NA
30,201,"SEN","Senegal",4,"Kédougou",12,"Salémata",30,"Dakately","Arrondissment","Arrondissement",NA,NA
31,201,"SEN","Senegal",4,"Kédougou",12,"Salémata",31,"Dar Salam","Arrondissment","Arrondissement",NA,NA
32,201,"SEN","Senegal",4,"Kédougou",13,"Saraya",32,"Bembou","Arrondissment","Arrondissement",NA,NA
33,201,"SEN","Senegal",4,"Kédougou",13,"Saraya",33,"Sabodala","Arrondissment","Arrondissement",NA,NA
34,201,"SEN","Senegal",5,"Kaffrine",14,"Birkilane",34,"Keur Mboucki","Arrondissment","Arrondissement",NA,NA
35,201,"SEN","Senegal",5,"Kaffrine",14,"Birkilane",35,"Mabo","Arrondissment","Arrondissement",NA,NA
36,201,"SEN","Senegal",5,"Kaffrine",15,"Kaffrine",36,"Gniby","Arrondissment","Arrondissement",NA,NA
37,201,"SEN","Senegal",5,"Kaffrine",15,"Kaffrine",37,"Katakel","Arrondissment","Arrondissement",NA,NA
38,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul",38,"Ida Mouride","Arrondissment","Arrondissement",NA,NA
39,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul",39,"Lour Escale","Arrondissment","Arrondissement",NA,NA
40,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul",40,"Missirah Wadene","Arrondissment","Arrondissement",NA,NA
41,201,"SEN","Senegal",5,"Kaffrine",17,"Malème Hodar",41,"Darou Miname Ii","Arrondissment","Arrondissement",NA,NA
42,201,"SEN","Senegal",5,"Kaffrine",17,"Malème Hodar",42,"Sagna","Arrondissment","Arrondissement",NA,NA
43,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",43,"Mbadakhoune","Arrondissment","Arrondissement",NA,NA
44,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",44,"Nguelou","Arrondissment","Arrondissement",NA,NA
45,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",45,"Koumbal","Arrondissment","Arrondissement",NA,NA
46,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",46,"Ndiedieng","Arrondissment","Arrondissement",NA,NA
47,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",47,"Ngothie","Arrondissment","Arrondissement",NA,NA
48,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",48,"Medina Sabakh","Arrondissment","Arrondissement",NA,NA
49,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",49,"Paos Koto","Arrondissment","Arrondissement",NA,NA
50,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",50,"Wack Ngouna","Arrondissment","Arrondissement",NA,NA
51,201,"SEN","Senegal",7,"Kolda",21,"Kolda",51,"Dioulacolon","Arrondissment","Arrondissement",NA,NA
52,201,"SEN","Senegal",7,"Kolda",21,"Kolda",52,"Mampatim","Arrondissment","Arrondissement",NA,NA
53,201,"SEN","Senegal",7,"Kolda",21,"Kolda",53,"Sare Bidji","Arrondissment","Arrondissement",NA,NA
54,201,"SEN","Senegal",7,"Kolda",22,"Médina Yoro Foula",54,"Fafacourou","Arrondissment","Arrondissement",NA,NA
55,201,"SEN","Senegal",7,"Kolda",22,"Médina Yoro Foula",55,"Ndorna","Arrondissment","Arrondissement",NA,NA
56,201,"SEN","Senegal",7,"Kolda",22,"Médina Yoro Foula",56,"Niaming","Arrondissment","Arrondissement",NA,NA
57,201,"SEN","Senegal",7,"Kolda",23,"Vélingara",57,"Bonconto","Arrondissment","Arrondissement",NA,NA
58,201,"SEN","Senegal",7,"Kolda",23,"Vélingara",58,"Pakour","Arrondissment","Arrondissement",NA,NA
59,201,"SEN","Senegal",7,"Kolda",23,"Vélingara",59,"Sare Coly Sale","Arrondissment","Arrondissement",NA,NA
60,201,"SEN","Senegal",8,"Louga",24,"Kébémer",60,"Darou Mousty","Arrondissment","Arrondissement",NA,NA
61,201,"SEN","Senegal",8,"Louga",24,"Kébémer",61,"Sagatta Gueth","Arrondissment","Arrondissement",NA,NA
