"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
1,201,"SEN","Senegal",1,"Dakar",1,"Dakar",1,"Almadies",1,"Mermoz/ Sacre -Coeur",NA,"Commune","Commune"
2,201,"SEN","Senegal",1,"Dakar",1,"Dakar",1,"Almadies",2,"Ngor",NA,"Commune","Commune"
3,201,"SEN","Senegal",1,"Dakar",1,"Dakar",1,"Almadies",3,"Ouakam",NA,"Commune","Commune"
4,201,"SEN","Senegal",1,"Dakar",1,"Dakar",1,"Almadies",4,"Yoff",NA,"Commune","Commune"
5,201,"SEN","Senegal",1,"Dakar",1,"Dakar",2,"Dakar Plateau",5,"Îles des Madeleines","Sarpan|Le Parc National des Iles de la Madeleine","Parc National","National Park"
6,201,"SEN","Senegal",1,"Dakar",1,"Dakar",2,"Dakar Plateau",6,"Fann/Point E/ Amitie",NA,"Commune","Commune"
7,201,"SEN","Senegal",1,"Dakar",1,"Dakar",2,"Dakar Plateau",7,"Goree",NA,"Commune","Commune"
8,201,"SEN","Senegal",1,"Dakar",1,"Dakar",2,"Dakar Plateau",8,"Gueule Tapee/Colobane/Fass",NA,"Commune","Commune"
9,201,"SEN","Senegal",1,"Dakar",1,"Dakar",2,"Dakar Plateau",9,"Medina",NA,"Commune","Commune"
10,201,"SEN","Senegal",1,"Dakar",1,"Dakar",2,"Dakar Plateau",10,"Plateau",NA,"Commune","Commune"
11,201,"SEN","Senegal",1,"Dakar",1,"Dakar",3,"Grand Dakar",11,"Biscuiterie",NA,"Commune","Commune"
12,201,"SEN","Senegal",1,"Dakar",1,"Dakar",3,"Grand Dakar",12,"Dieuppeul Derkle",NA,"Commune","Commune"
13,201,"SEN","Senegal",1,"Dakar",1,"Dakar",3,"Grand Dakar",13,"Grand Dakar",NA,"Commune","Commune"
14,201,"SEN","Senegal",1,"Dakar",1,"Dakar",3,"Grand Dakar",14,"Hann/ Bel Air",NA,"Commune","Commune"
15,201,"SEN","Senegal",1,"Dakar",1,"Dakar",3,"Grand Dakar",15,"Hlm",NA,"Commune","Commune"
16,201,"SEN","Senegal",1,"Dakar",1,"Dakar",3,"Grand Dakar",16,"Sicap Liberte",NA,"Commune","Commune"
17,201,"SEN","Senegal",1,"Dakar",1,"Dakar",4,"Parcelles Assainies",17,"Camberene",NA,"Commune","Commune"
18,201,"SEN","Senegal",1,"Dakar",1,"Dakar",4,"Parcelles Assainies",18,"Grand Yoff",NA,"Commune","Commune"
